Centroid Values (Standardrized),,,,,,,,,,,,Centroid Values (Standardrized),,,,,,,
,Device Orders_Office,Total Visits,New Visitors,Enter PDP from Office.com,Enter PDP from Store,Enter PDP from O365 Web,Time Spent per Visit (seconds),,,,,,Device Orders_Office,Total Visits,New Visitors,Enter PDP from Office.com,Enter PDP from Store,Enter PDP from O365 Web,Time Spent per Visit (seconds)
Buy,-0.65,-0.07,-0.06,-0.17,0.03,-0.02,-0.03,,,,,Try,2.17,0.23,0.19,0.57,-0.10,0.07,0.09
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,177,Buy,,,,,,,1,42,Try,,,,,,,,
Device Orders_Office                      0.011299,,,,,,,,,Device Orders_Office                      0.095238,,,,,,,,,,
Total Visits                              1.067797,,,,,,,,,Total Visits                              1.071429,,,,,,,,,,
New Visitors                              0.661017,,,,,,,,,New Visitors                              0.476190,,,,,,,,,,
Enter PDP from Office.com                 0.073446,,,,,,,,,Enter PDP from Office.com                 0.047619,,,,,,,,,,
Enter PDP from Store                      0.361582,,,,,,,,,Enter PDP from Store                      0.476190,,,,,,,,,,
Enter PDP from O365 Web                   0.316384,,,,,,,,,Enter PDP from O365 Web                   0.309524,,,,,,,,,,
Time Spent per Visit (seconds)          597.014724,,,,,,,,,Time Spent per Visit (seconds)          412.362951,,,,,,,,,,
Average Time Spent on Page (seconds)     82.694844,,,,,,,,,Average Time Spent on Page (seconds)     73.862614,,,,,,,,,,
Link Clicks (e4)                         38.841808,,,,,,,,,Link Clicks (e4)                         27.023810,,,,,,,,,,
Link Clicks on TechSpecsTab               0.022599,,,,,,,,,Link Clicks on TechSpecsTab               0.000000,,,,,,,,,,
Link Clicks on ReviewTab                  0.005650,,,,,,,,,Link Clicks on ReviewTab                  0.000000,,,,,,,,,,
Link Clicks on FAQTab                     0.011299,,,,,,,,,Link Clicks on FAQTab                     0.023810,,,,,,,,,,
Link Clicks on AddtoCartButton            0.288136,,,,,,,,,Link Clicks on AddtoCartButton            0.142857,,,,,,,,,,
Link Clicks on Trial link                 0.129944,,,,,,,,,Link Clicks on Trial link                 0.023810,,,,,,,,,,
cluster2                                  0.000000,,,,,,,,,cluster2                                  1.000000,,,,,,,,,,
cluster2_corrected                        1.000000,,,,,,,,,cluster2_corrected                        0.000000,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Features,Buy Average,,,,,,,,Features,Try Average,,,,,,,,,
Device Orders_Office,0.01,,,,,,,,Device Orders_Office,0.10,,,,,,,,,
Total Visits,1.07,,,,,,,,Total Visits,1.07,,,,,,,,,
New Visitors,0.66,,,,,,,,New Visitors,0.48,,,,,,,,,
Enter PDP from Office.com,0.07,,,,,,,,Enter PDP from Office.com,0.05,,,,,,,,,
Enter PDP from Store,0.36,,,,,,,,Enter PDP from Store,0.48,,,,,,,,,
Enter PDP from O365 Web,0.32,,,,,,,,Enter PDP from O365 Web,0.31,,,,,,,,,
Time Spent per Visit (seconds),597.01,,,,,,,,Time Spent per Visit (seconds),412.36,,,,,,,,,
Average Time Spent on Page (seconds),82.69,,,,,,,,Average Time Spent on Page (seconds),73.86,,,,,,,,,
Link Clicks (e4),38.84,,,,,,,,Link Clicks (e4),27.02,,,,,,,,,
Link Clicks on TechSpecsTab,0.02,,,,,,,,Link Clicks on TechSpecsTab,0.00,,,,,,,,,
Link Clicks on ReviewTab,0.01,,,,,,,,Link Clicks on ReviewTab,0.00,,,,,,,,,
Link Clicks on FAQTab,0.01,,,,,,,,Link Clicks on FAQTab,0.02,,,,,,,,,
Link Clicks on AddtoCartButton,0.29,,,,,,,,Link Clicks on AddtoCartButton,0.14,,,,,,,,,
Link Clicks on Trial link,0.13,,,,,,,,Link Clicks on Trial link,0.02,,,,,,,,,
